k,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,logq,jhi,mrg,ok,cflen,cfmax,cfidx,cfkind,cfpq,logh11,h22,logsinth,pqnext,cvkind,cvidx,cvt
23.9000,42,28.083281,-0.799714,-0.818343,-0.780969,4.805191,0,-0.772901,6.743223,4.805191,14.170084,3,7.770 e-4,1,894,3770,477,0,0,27.918246,1024,-0.004882,9,0,478,0
22.4000,43,26.997022,-0.304780,-0.317147,-0.292324,2.907758,0,-0.284378,4.092194,2.907758,14.657028,3,2.174 e-3,1,852,13404,443,0,0,26.900304,64,-0.003834,5,0,444,0
23.0000,43,27.416135,-0.514336,-0.517051,-0.510716,1.313148,0,-0.508130,1.467594,1.313148,14.385134,3,5.417 e-4,1,932,1846,487,0,0,27.319416,64,-0.038940,3,0,486,0
23.9000,43,28.028683,-0.820610,-0.827019,-0.814186,1.736427,0,-0.809235,2.148333,1.736427,14.099994,3,3.414 e-4,1,930,2929,487,0,0,27.931965,64,-0.000699,5,0,486,0
22.4000,44,27.091732,-0.251119,-0.260816,-0.241108,2.380111,1,-0.253753,1.364522,1.000000,14.680476,2,1.508 e-4,1,876,6633,438,0,0,26.787069,663424,-0.013773,4,0,438,0
23.0000,44,27.517072,-0.463789,-0.498437,-0.429136,21.099474,1,-0.490613,1.410907,1.000000,14.439648,2,4.853 e-3,1,945,1672,512,0,0,27.212409,663424,-0.000249,41,0,512,0
23.9000,44,28.131452,-0.770979,-0.778093,-0.763756,1.879176,1,-0.771759,1.321416,1.000000,14.146084,2,2.474 e-3,1,940,5344,478,0,0,27.826789,663424,-0.004796,4,0,478,0
22.4000,45,27.046412,-0.283144,-0.284491,-0.280650,1.188709,1,-0.283255,1.057185,1.000000,14.660358,2,6.719 e-4,1,911,1881,474,0,0,26.923186,256,-0.051629,18,0,474,0
23.0000,45,27.462301,-0.491088,-0.491069,-0.489960,1.051150,1,-0.485037,1.311805,1.000000,14.432992,3,4.469 e-3,1,922,479,482,0,0,27.339074,256,-0.051663,2,0,482,0
23.9000,45,28.078431,-0.799154,-0.800022,-0.796414,1.176311,1,-0.795823,1.207990,1.000000,14.112808,3,1.261 e-3,1,1005,793,516,0,0,27.955205,256,-0.084221,3,0,516,0
22.4000,46,26.917646,-0.341406,-0.368163,-0.314650,11.723505,0,-0.311949,13.274294,11.723505,14.525755,3,4.067 e-4,1,994,6797,535,0,0,26.744004,2944,-0.000002,28,0,534,0
23.0000,46,27.339562,-0.552364,-0.551385,-0.550862,1.024338,1,-0.546977,1.224738,1.000000,14.394814,3,7.858 e-4,1,973,1272,508,0,0,27.165920,2944,-0.114185,1,0,510,0
23.9000,46,27.957367,-0.861267,-0.869711,-0.852780,2.178947,0,-0.851538,2.307083,2.178947,14.092431,3,2.929 e-3,1,988,1248,505,0,0,27.783725,2944,-0.001962,17,0,506,0
22.4000,47,27.145612,-0.221554,-0.223057,-0.219520,1.180889,1,-0.216280,1.375125,1.000000,14.708728,3,8.993 e-4,1,929,1222,496,0,0,26.860618,656512,-0.024937,2,0,496,0
23.0000,47,27.573298,-0.435397,-0.443493,-0.426946,2.176492,1,-0.437803,1.306596,1.000000,14.481672,2,3.156 e-3,1,974,316,490,0,0,27.288305,656512,-0.016711,5,0,490,0
