k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,6360,1,1,70354,0,134713,0.522255,1,1,39,2254,294367,27.47725,0.00406,2.38872,0.00469,1,0,3,1.112379,1.000000,1.053362,-0.005396,-0.005379,14.955513,10501,0.000360,0.076524,56150,22738,12591,7769,5486,4074,3066,2412,20426,1,1,1,1
22.4000,6360,1,1,70522,0,134957,0.522555,1,2,20,56,2027108,27.51190,0.00406,2.38872,0.00469,1,0,2,1.403471,1.000000,1.484828,-0.022759,-0.022706,14.938713,10183,0.001520,0.074290,56002,22988,12652,7918,5531,3975,3004,2396,20490,1,1,1,1
23.0000,6360,1,1,71290,0,136339,0.522892,1,2,7,26,180020,27.92779,0.00406,2.38872,0.00469,1,1,2,1.396281,1.000000,1.452407,-0.230701,-0.230649,14.730725,6370,0.015658,0.047129,56496,23176,12491,8093,5438,4030,3181,2557,20876,1,1,1,1
23.9000,6360,1,1,73255,1,140891,0.519945,138,18,138,170,156581,28.55162,0.00406,2.38872,0.00469,0,1,3,12.856134,9.166812,9.166812,-0.542763,-0.542362,14.419145,644,0.037614,0.004868,58771,23936,13143,8358,5678,4142,3157,2573,21132,1,1,1,1
22.3500,6372,1,1,70360,0,134723,0.522261,3,3,204,204,82394,27.48243,0.00255,2.39460,0.00490,1,1,3,1.240249,1.000000,1.023319,-0.003541,-0.003507,14.957769,10519,0.000234,0.076499,55989,22658,12539,7912,5528,4062,3058,2415,20561,1,1,1,1
22.4000,6372,1,1,70041,1,134407,0.521115,4,23,23,24,106170,27.51702,0.00255,2.39460,0.00490,0,1,3,6.606392,6.235476,6.235476,-0.020980,-0.020684,14.940286,10200,0.001384,0.074266,55595,22873,12494,7923,5378,3942,3050,2507,20644,1,1,1,1
23.0000,6372,1,1,71324,0,137034,0.520488,2174,2,2174,2174,192833,27.93300,0.00255,2.39460,0.00490,1,1,3,1.414014,1.000000,1.289330,-0.228843,-0.228789,14.732615,6375,0.015529,0.047071,56721,23146,12972,8144,5492,4142,3138,2468,20810,1,1,1,1
23.9000,6372,1,1,73202,0,140800,0.519904,2,37,37,826,96701,28.55674,0.00255,2.39460,0.00490,1,1,2,1.095934,1.000000,3.876020,-0.540803,-0.540788,14.420347,641,0.037502,0.004835,58645,23890,13086,8287,5707,4090,3285,2446,21363,1,1,1,1
22.3500,6384,1,1,70587,1,135094,0.522507,3,3,127,674,3709381,27.48296,0.00333,2.39471,0.00747,0,1,3,2.026444,1.752622,1.752622,-0.002908,-0.002798,14.958403,10542,0.000187,0.076519,56247,22993,12596,7829,5570,3907,3062,2392,20497,1,1,1,1
22.4000,6384,1,1,70509,1,135158,0.521682,8,411,411,411,93334,27.51760,0.00333,2.39471,0.00747,0,1,3,162.129828,148.980211,148.980211,-0.020577,-0.019780,14.941730,10220,0.001324,0.074265,56034,23033,12697,8007,5462,3934,3013,2424,20553,1,1,1,1
23.0000,6384,1,1,71693,1,137313,0.522118,1,3,72,72,85017,27.93355,0.00333,2.39471,0.00747,0,1,3,1.844848,1.359261,1.359261,-0.228184,-0.228088,14.733354,6389,0.015481,0.047083,56736,23539,12760,8138,5514,4048,3126,2497,20954,1,1,1,1
23.9000,6384,1,1,73267,1,140758,0.520521,2,1,9,151,104770,28.55732,0.00333,2.39471,0.00747,0,1,3,1.502350,1.200377,1.200377,-0.540052,-0.539989,14.421295,644,0.037444,0.004849,58198,23946,13168,8316,5891,4273,3139,2559,21267,1,1,1,1
22.3500,6396,1,1,70489,1,135135,0.521623,1,15,230,1447,191270,27.48516,0.00163,2.39541,0.00753,0,1,3,11.238924,8.272640,8.272640,-0.002761,-0.002383,14.959117,10556,0.000159,0.076473,56307,22668,12431,7988,5649,3951,3125,2327,20688,1,1,1,1
22.4000,6396,1,1,70811,1,135339,0.523216,10,16,16,171,430198,27.51984,0.00163,2.39541,0.00753,0,1,3,1.420694,1.080352,1.080352,-0.019937,-0.019882,14.941572,10235,0.001331,0.074235,56088,23104,12669,7862,5438,3995,3080,2492,20610,1,1,1,1
23.0000,6396,1,1,71224,0,136989,0.519929,1,1,30,6038,486500,27.93577,0.00163,2.39541,0.00753,1,0,3,1.376401,1.000000,1.195946,-0.227915,-0.227865,14.733570,6397,0.015466,0.047053,56749,23150,12838,8057,5461,4117,3123,2415,21078,1,1,1,1
23.9000,6396,1,1,73670,0,141377,0.521093,9,5,9,20,3262588,28.55956,0.00163,2.39541,0.00753,1,1,2,1.395587,1.000000,2.634656,-0.539870,-0.539818,14.421556,641,0.037431,0.004817,58915,23912,13103,8445,5649,4166,3277,2513,21396,1,1,1,1
22.3500,6408,1,1,70416,0,135447,0.519882,4,30,222,222,69172,27.47611,0.00306,2.38929,0.00582,1,1,2,1.196573,1.000000,6.574089,-0.006526,-0.006498,14.954980,10579,0.000435,0.076518,56097,23082,12618,7952,5566,4097,2999,2595,20440,1,1,1,1
22.4000,6408,1,1,71020,0,135799,0.522983,4,124,124,124,1296051,27.51083,0.00306,2.38929,0.00582,1,1,2,1.338485,1.000000,49.215824,-0.024045,-0.023999,14.937449,10258,0.001607,0.074283,56381,23065,12496,8066,5657,4129,3018,2421,20565,1,1,1,1
23.0000,6408,1,1,71945,1,137990,0.521382,4,6,6,95,52597,27.92674,0.00306,2.38929,0.00582,0,1,3,4.217873,3.216202,3.216202,-0.231786,-0.231561,14.729943,6413,0.015720,0.047094,57116,23569,13002,8079,5607,4022,3157,2486,20951,1,1,1,1
23.9000,6408,1,1,73613,1,140895,0.522471,1,3,7,31,215033,28.55055,0.00306,2.38929,0.00582,0,1,3,2.944297,2.166693,2.166693,-0.543660,-0.543491,14.417711,646,0.037696,0.004847,58461,23786,13243,8391,5791,4055,3172,2427,21568,1,1,1,1
22.3500,6420,1,1,70793,1,135971,0.520652,1,19,19,54,148602,27.46999,0.00303,2.39169,0.00608,0,0,3,2.171350,1.713389,1.713389,-0.009578,-0.009457,14.951839,10594,0.000633,0.076499,56477,23147,12586,8064,5570,3979,3082,2460,20605,1,1,1,1
22.4000,6420,1,1,70855,1,135940,0.521226,2,8,8,75,433711,27.50465,0.00303,2.39169,0.00608,0,0,3,1.511104,1.172229,1.172229,-0.026877,-0.026813,14.934496,10275,0.001795,0.074282,56616,23156,12522,7814,5609,3944,2993,2459,20826,1,1,1,1
