k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
23.9000,2098,1,1,23959,1,46176,0.518874,1,14,22,26,130663,28.54477,0.00690,2.36004,0.01810,0,1,3,2.046733,1.518136,1.472014,-0.545596,-0.545255,14.415502,213,0.037824,0.004882,19069,7786,4351,2692,1968,1388,1085,827,7009,1,1,1,1
22.3500,2099,1,1,23139,1,44439,0.520703,7,17,17,131,62170,27.47324,0.00986,2.37083,0.01542,0,0,3,2.086535,1.953478,1.953478,-0.005435,-0.005084,14.954890,3467,0.000340,0.076557,18557,7512,4198,2575,1769,1317,1010,795,6705,1,1,1,1
22.4000,2099,1,1,23188,0,44370,0.522617,21,2,21,437,53859,27.50792,0.00986,2.37083,0.01542,1,1,3,1.412918,1.000000,1.333267,-0.022679,-0.022514,14.938444,3362,0.001507,0.074320,18448,7518,4111,2567,1738,1310,1025,805,6847,1,1,1,1
23.0000,2099,1,1,23572,0,45210,0.521401,1,3,38,1484,135848,27.92400,0.00986,2.37083,0.01542,1,1,2,1.413902,1.000000,1.928559,-0.230811,-0.230646,14.730302,2102,0.015658,0.047123,18842,7558,4200,2708,1841,1397,1033,809,6821,1,1,1,1
23.9000,2099,1,1,24264,0,46314,0.523913,1,26,26,42,528147,28.54780,0.00986,2.37083,0.01542,1,0,2,1.098618,1.000000,2.870168,-0.542803,-0.542758,14.418464,213,0.037643,0.004878,19301,7857,4369,2714,1845,1340,1048,831,7008,1,1,1,1
22.3500,2100,1,1,23248,0,44355,0.524147,22,4,66,81,250714,27.46349,0.01445,2.36347,0.01509,1,1,2,1.302817,1.000000,1.503095,-0.008157,-0.008031,14.952647,3468,0.000537,0.076554,18398,7562,4098,2678,1846,1259,990,775,6748,1,1,1,1
22.4000,2100,1,1,23171,1,44389,0.522010,1,8,8,660,58222,27.49814,0.01445,2.36347,0.01509,0,1,3,5.668759,4.391829,4.391829,-0.025753,-0.024927,14.936316,3365,0.001669,0.074361,18434,7512,4217,2547,1758,1310,1114,764,6732,1,1,1,1
23.0000,2100,1,1,23509,1,45090,0.521391,6,12,14,149,290239,27.91403,0.01445,2.36347,0.01509,0,0,3,1.268610,1.125531,1.125531,-0.233373,-0.233260,14.727004,2103,0.015839,0.047134,18745,7558,4200,2763,1769,1351,1006,806,6891,1,1,1,1
23.9000,2100,1,1,24315,1,46672,0.520987,1,2,28,140,60030,28.53786,0.01445,2.36347,0.01509,0,1,3,2.298139,1.803142,1.803142,-0.545393,-0.544996,14.415620,213,0.037806,0.004877,19591,7887,4350,2654,1943,1381,1044,808,7013,1,1,1,1
22.3500,2101,1,1,23273,1,44594,0.521898,1,2,9,294,148386,27.47289,0.00528,2.35600,0.01801,0,0,3,1.400350,1.010212,1.010212,-0.007834,-0.007674,14.953158,3466,0.000513,0.076471,18502,7644,4166,2600,1844,1327,1039,754,6717,1,1,1,1
22.4000,2101,1,1,23200,0,44694,0.519097,22,5,22,1922,131142,27.50753,0.00528,2.35600,0.01801,1,1,2,1.404512,1.000000,2.831910,-0.025405,-0.025244,14.935748,3363,0.001690,0.074285,18499,7689,4098,2688,1819,1312,1038,825,6725,1,1,1,1
23.0000,2101,1,1,23527,1,45096,0.521721,2,76,76,499,32419,27.92355,0.00528,2.35600,0.01801,0,1,3,1.870265,1.343691,1.141736,-0.233194,-0.232896,14.728122,2100,0.015813,0.047040,18525,7776,4237,2641,1840,1361,1029,836,6850,1,1,1,1
23.9000,2101,1,1,23960,0,46363,0.516803,2,101,101,101,63000,28.54709,0.00528,2.35600,0.01801,1,0,2,1.016510,1.000000,1.741215,-0.545063,-0.545055,14.416206,210,0.037809,0.004806,19216,7805,4439,2645,1871,1406,1040,903,7037,1,1,1,1
22.3500,2102,1,1,23138,0,44433,0.520751,3,12,12,17,204058,27.47173,0.00937,2.35634,0.01824,1,1,2,1.115408,1.000000,1.530808,-0.006359,-0.006307,14.953913,3474,0.000422,0.076607,18479,7555,4076,2600,1786,1335,1050,793,6758,1,1,1,1
22.4000,2102,1,1,23345,1,44757,0.521606,2,2,5,80,694607,27.50635,0.00937,2.35634,0.01824,0,1,3,1.793912,1.432856,1.432856,-0.023646,-0.023368,14.937803,3371,0.001564,0.074416,18700,7652,4046,2635,1887,1317,1006,785,6728,1,1,1,1
23.0000,2102,1,1,23681,1,45428,0.521298,1,1,70,202,37844,27.92250,0.00937,2.35634,0.01824,0,1,3,1.505823,1.192240,1.192240,-0.231667,-0.231472,14.729662,2108,0.015715,0.047192,19013,7650,4243,2689,1815,1300,1036,803,6878,1,1,1,1
23.9000,2102,1,1,24071,1,46300,0.519903,1,3,36,127,39730,28.54607,0.00937,2.35634,0.01824,0,1,3,1.755271,1.562089,1.562089,-0.543534,-0.543266,14.417994,216,0.037680,0.004940,19428,7705,4158,2701,1854,1401,1095,872,7085,1,1,1,1
22.3500,2103,1,1,23082,0,44491,0.518813,2,9,268,268,52248,27.47055,0.00847,2.35150,0.02380,1,1,2,1.174223,1.000000,1.895785,-0.007658,-0.007582,14.952829,3473,0.000507,0.076554,18428,7602,4094,2615,1844,1269,1030,821,6787,1,1,1,1
22.4000,2103,1,1,23181,1,44307,0.523202,1,1,55,300,50230,27.50516,0.00847,2.35150,0.02380,0,0,3,1.625911,1.152844,1.152844,-0.024845,-0.024614,14.936289,3368,0.001648,0.074322,18178,7610,4150,2595,1832,1297,1060,810,6774,1,1,1,1
23.0000,2103,1,1,23581,1,45249,0.521150,2,47,269,269,115233,27.92112,0.00847,2.35150,0.02380,0,0,3,5.927038,5.605420,5.605420,-0.233198,-0.232352,14.727547,2106,0.015777,0.047132,18644,7774,4167,2640,1876,1361,1063,851,6872,1,1,1,1
23.9000,2103,1,1,24216,0,46609,0.519567,1,6,16,25,33416,28.54472,0.00847,2.35150,0.02380,1,0,2,1.249689,1.000000,1.986663,-0.544749,-0.544643,14.416499,214,0.037779,0.004893,19342,7974,4422,2723,1905,1369,1030,798,7045,1,1,1,1
22.3500,2104,1,1,22760,0,44022,0.517026,1,7,29,202,108713,27.48242,0.00655,2.35410,0.01700,1,1,2,1.134238,1.000000,1.227075,-0.002452,-0.002392,14.958813,3479,0.000160,0.076619,18049,7400,4120,2624,1822,1381,1012,832,6781,1,1,1,1
22.4000,2104,1,1,23282,0,44465,0.523615,17,299,299,299,881097,27.51701,0.00655,2.35410,0.01700,1,0,2,1.009094,1.000000,2.735547,-0.019952,-0.019948,14.941317,3372,0.001335,0.074350,18442,7545,4076,2672,1841,1275,1005,819,6789,1,1,1,1
23.0000,2104,1,1,23960,0,45726,0.524002,1,8,22,36,29970,27.93310,0.00655,2.35410,0.01700,1,1,2,1.345555,1.000000,3.889164,-0.228078,-0.227937,14.733137,2111,0.015471,0.047203,19131,7763,4244,2685,1839,1378,1033,824,6828,1,1,1,1
23.9000,2104,1,1,24063,1,46337,0.519315,1,2,9,245,67807,28.55674,0.00655,2.35410,0.01700,0,1,3,2.388765,1.795671,1.795671,-0.539706,-0.539292,14.421387,218,0.037395,0.004980,19229,7903,4226,2676,1932,1460,1027,852,7031,1,1,1,1
22.3500,2105,1,1,23076,0,44447,0.519192,1,12,795,795,76225,27.47346,0.00494,2.35382,0.02175,1,1,2,1.377787,1.000000,6.118502,-0.008018,-0.007865,14.953174,3476,0.000526,0.076546,18513,7543,4110,2601,1833,1265,1008,781,6792,1,1,1,1
