xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
23.9,73,1766,2053,1015,1794,1760,14.18844,-0.75013,6,0.00402,0.05287,0.05688,0
22.4,74,1790,2081,1029,1818,1673,14.75265,-0.15276,117,0.07429,0.01035,0.08464,0
23.0,74,1790,2081,1029,1818,1718,14.58492,-0.36599,72,0.04624,0.02509,0.07133,0
23.9,74,1790,2081,1029,1818,1784,14.24742,-0.68885,6,0.00394,0.04835,0.05229,1
22.4,75,1818,2110,1044,1845,1696,14.73445,-0.17701,124,0.07778,0.01201,0.08979,0
23.0,75,1818,2110,1044,1845,1741,14.56704,-0.38403,78,0.04949,0.02636,0.07585,0
23.9,75,1818,2110,1044,1845,1808,14.25108,-0.69890,13,0.00843,0.04904,0.05747,0
22.4,76,1842,2139,1059,1868,1718,14.74558,-0.20563,124,0.07670,0.01395,0.09064,0
23.0,76,1842,2139,1059,1868,1764,14.49191,-0.41913,80,0.05035,0.02892,0.07927,0
23.9,76,1842,2139,1059,1868,1832,14.20620,-0.73209,10,0.00642,0.05153,0.05795,0
22.4,77,1862,2164,1070,1891,1740,14.81220,-0.13724,122,0.07414,0.00927,0.08341,0
23.0,77,1862,2164,1070,1891,1787,14.58459,-0.35678,76,0.04691,0.02446,0.07137,1
23.9,77,1862,2164,1070,1891,1856,14.27082,-0.65682,6,0.00378,0.04603,0.04981,0
22.4,78,1888,2193,1085,1916,1763,14.86908,-0.04547,127,0.07590,0.00306,0.07896,0
23.0,78,1888,2193,1085,1916,1810,14.67635,-0.26492,84,0.05086,0.01805,0.06891,1
23.9,78,1888,2193,1085,1916,1880,14.35747,-0.57372,8,0.00495,0.03996,0.04491,0
22.4,79,1910,2219,1097,1940,1785,14.78209,-0.15633,125,0.07419,0.01058,0.08477,1
23.0,79,1910,2219,1097,1940,1833,14.58192,-0.36771,77,0.04633,0.02522,0.07155,1
